x;f;n;t;n;c;b;w;t;s;n;d;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
f;s;n;f;n;w;b;k;t;f;k;g;edible
x;f;n;t;n;c;b;w;t;s;k;d;edible
f;y;w;t;p;c;n;w;e;s;n;u;poisonous
x;y;y;t;l;c;b;n;e;y;n;g;edible
f;s;n;t;p;c;n;p;e;s;k;g;poisonous
f;f;w;f;n;w;b;h;t;s;n;g;edible
f;f;n;f;n;w;b;n;t;f;k;g;edible
f;s;n;t;p;c;n;w;e;s;n;g;poisonous
x;s;n;f;n;w;b;k;t;f;n;g;edible
x;f;n;f;n;w;b;n;t;f;k;g;edible
x;f;e;t;n;c;b;u;t;s;k;d;edible
f;f;n;f;n;w;b;k;t;s;k;g;edible
x;f;w;f;n;w;b;k;t;s;n;g;edible
f;s;g;f;n;w;b;p;t;s;n;g;edible
f;f;w;f;n;w;b;h;t;s;k;g;edible
f;s;y;t;a;w;n;n;t;s;n;d;edible
f;f;w;t;a;w;n;n;t;s;n;d;edible
f;f;n;f;n;w;b;p;t;f;n;g;edible
x;f;n;t;n;c;b;u;t;s;n;d;edible
x;y;g;t;n;c;b;n;t;s;k;d;edible
x;f;n;t;n;c;b;u;t;s;n;d;edible
x;f;n;f;n;w;b;k;t;f;k;g;edible
x;f;g;t;n;c;b;u;t;s;n;d;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
x;f;g;f;n;w;b;p;t;s;k;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
x;s;n;f;n;w;b;h;t;f;k;g;edible
b;y;w;t;l;c;b;k;e;s;k;m;edible
x;y;e;t;n;c;b;u;t;s;k;d;edible
f;s;n;f;n;w;b;h;t;f;n;g;edible
x;f;e;t;n;c;b;w;t;s;k;d;edible
f;y;n;t;n;c;b;p;t;s;k;d;edible
x;y;g;t;n;c;b;u;t;s;k;d;edible
x;s;g;f;n;w;b;p;t;s;n;g;edible
x;s;n;f;n;w;b;k;t;s;k;g;edible
x;f;g;f;n;w;b;p;t;f;n;g;edible
x;s;g;f;n;w;b;n;t;s;k;g;edible
x;y;e;t;n;c;b;w;t;s;k;d;edible
f;f;g;t;n;c;b;w;t;s;n;d;edible
f;f;n;t;n;c;b;n;t;s;k;d;edible
x;f;n;f;n;w;b;k;t;f;n;g;edible
f;s;n;f;n;w;b;n;t;f;n;g;edible
x;f;w;f;n;w;b;n;t;s;k;g;edible
x;y;y;t;a;c;b;p;e;y;n;p;edible
x;f;e;t;n;c;b;u;t;s;n;d;edible
x;f;n;f;n;w;b;h;t;s;k;g;edible
x;y;n;t;n;c;b;p;t;s;k;d;edible
f;f;g;t;n;c;b;n;t;s;n;d;edible
x;f;w;f;n;w;b;k;t;s;n;g;edible
x;y;w;t;a;c;b;k;e;s;k;m;edible
x;s;n;f;n;w;b;p;t;s;n;g;edible
f;s;w;f;n;w;b;p;t;s;n;g;edible
f;f;n;t;n;c;b;u;t;s;n;d;edible
f;f;w;f;n;w;b;k;t;f;k;g;edible
x;f;g;t;n;c;b;u;t;s;n;d;edible
x;f;n;t;n;c;b;p;t;s;n;d;edible
x;f;w;f;n;w;b;p;t;f;n;g;edible
x;s;w;t;a;c;b;n;e;s;k;m;edible
f;s;g;f;n;w;b;n;t;s;n;g;edible
f;y;n;t;p;c;n;n;e;s;n;g;poisonous
f;f;g;f;n;w;b;p;t;s;n;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
x;f;w;f;n;w;b;n;t;f;n;g;edible
x;y;n;t;n;c;b;u;t;s;k;d;edible
x;y;e;t;n;c;b;p;t;s;n;d;edible
f;s;n;t;p;c;n;n;e;s;k;u;poisonous
f;s;g;f;n;w;b;p;t;s;n;g;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
f;f;g;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;w;t;s;n;d;edible
x;f;n;t;n;c;b;u;t;s;k;d;edible
x;s;w;t;p;c;n;p;e;s;n;u;poisonous
x;s;y;t;l;c;b;k;e;s;k;m;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
f;y;n;t;n;c;b;w;t;s;n;d;edible
x;s;g;f;n;w;b;n;t;f;n;g;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
x;f;g;f;n;w;b;k;t;s;n;g;edible
f;s;w;f;n;w;b;p;t;s;n;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
f;f;n;t;n;c;b;u;t;s;n;d;edible
f;f;g;f;n;w;b;n;t;f;k;g;edible
f;f;g;f;n;w;b;n;t;s;k;g;edible
f;f;n;f;n;w;b;h;t;f;n;g;edible
x;f;g;t;n;c;b;p;t;s;k;d;edible
x;f;e;t;n;c;b;n;t;s;n;d;edible
f;y;n;t;p;c;n;p;e;s;k;u;poisonous
x;y;g;t;n;c;b;p;t;s;k;d;edible
x;s;w;f;n;w;b;k;t;f;n;g;edible
b;s;w;t;a;c;b;g;e;s;n;m;edible
x;s;w;f;n;w;b;h;t;f;n;g;edible
f;f;n;f;n;w;b;k;t;f;k;g;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
f;f;g;t;n;c;b;n;t;s;n;d;edible
x;f;g;f;n;w;b;p;t;s;k;g;edible
x;s;w;t;p;c;n;n;e;s;k;g;poisonous
x;s;n;f;n;w;b;k;t;s;n;g;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
f;f;g;t;n;c;b;p;t;s;n;d;edible
x;y;n;t;n;c;b;w;t;s;n;d;edible
x;f;e;t;n;c;b;p;t;s;n;d;edible
f;f;n;t;n;c;b;w;t;s;n;d;edible
x;f;e;t;n;c;b;u;t;s;k;d;edible
f;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;e;t;n;c;b;u;t;s;k;d;edible
x;f;g;t;n;c;b;w;t;s;k;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;f;e;t;n;c;b;w;t;s;k;d;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
x;s;w;t;p;c;n;w;e;s;n;g;poisonous
x;f;e;t;n;c;b;n;t;s;n;d;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
x;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;e;t;n;c;b;w;t;s;k;d;edible
x;y;g;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
x;y;g;t;n;c;b;u;t;s;k;d;edible
x;f;e;t;n;c;b;p;t;s;n;d;edible
f;y;e;t;n;c;b;n;t;s;n;d;edible
f;f;n;t;n;c;b;p;t;s;k;d;edible
x;f;n;t;n;c;b;u;t;s;k;d;edible
f;y;g;t;n;c;b;w;t;s;k;d;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
x;f;g;t;n;c;b;p;t;s;n;d;edible
x;y;g;t;n;c;b;n;t;s;k;d;edible
x;f;g;f;f;c;b;p;e;k;h;g;poisonous
f;s;w;t;p;c;n;p;e;s;k;g;poisonous
x;f;e;t;n;c;b;n;t;s;k;d;edible
x;f;w;f;n;w;b;h;t;s;n;g;edible
x;y;n;t;n;c;b;u;t;s;n;d;edible
f;f;n;t;n;c;b;n;t;s;n;d;edible
x;f;n;t;n;c;b;w;t;s;n;d;edible
x;y;g;t;n;c;b;u;t;s;n;d;edible
x;y;g;t;n;c;b;w;t;s;n;d;edible
x;f;e;t;n;c;b;u;t;s;k;d;edible
x;y;n;t;n;c;b;n;t;s;n;d;edible
x;f;g;t;n;c;b;w;t;s;k;d;edible
x;f;e;t;n;c;b;w;t;s;k;d;edible
x;y;e;t;n;c;b;u;t;s;k;d;edible
x;y;n;t;n;c;b;p;t;s;n;d;edible
x;y;e;t;n;c;b;n;t;s;k;d;edible
f;y;n;t;n;c;b;p;t;s;n;d;edible
f;y;n;t;n;c;b;n;t;s;k;d;edible
x;y;n;t;n;c;b;n;t;s;n;d;edible
f;s;n;t;p;c;n;n;e;s;n;u;poisonous
f;f;e;t;n;c;b;u;t;s;n;d;edible
x;s;w;t;p;c;n;w;e;s;k;g;poisonous
x;f;e;t;n;c;b;u;t;s;k;d;edible
f;f;n;t;n;c;b;p;t;s;k;d;edible
x;y;n;t;n;c;b;u;t;s;n;d;edible
f;f;e;t;n;c;b;p;t;s;n;d;edible
x;f;e;t;n;c;b;n;t;s;n;d;edible
x;f;g;t;n;c;b;p;t;s;n;d;edible
x;y;n;t;n;c;b;n;t;s;n;d;edible
f;f;n;t;n;c;b;u;t;s;n;d;edible
f;f;n;t;n;c;b;w;t;s;n;d;edible
x;f;e;t;n;c;b;u;t;s;k;d;edible
x;f;n;t;n;c;b;u;t;s;k;d;edible
x;f;e;t;n;c;b;p;t;s;n;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;y;n;t;n;c;b;u;t;s;k;d;edible
f;f;n;t;n;c;b;u;t;s;n;d;edible
x;f;e;t;n;c;b;n;t;s;n;d;edible
x;y;e;t;n;c;b;w;t;s;n;d;edible
x;f;g;t;n;c;b;p;t;s;k;d;edible
x;y;g;t;n;c;b;n;t;s;k;d;edible
x;y;e;t;n;c;b;p;t;s;n;d;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
x;f;g;t;n;c;b;n;t;s;n;d;edible
f;f;g;t;n;c;b;n;t;s;n;d;edible
x;y;g;t;n;c;b;n;t;s;k;d;edible
x;y;e;t;n;c;b;n;t;s;n;d;edible
f;f;n;t;n;c;b;p;t;s;k;d;edible
f;f;n;t;n;c;b;w;t;s;k;d;edible
x;y;e;t;n;c;b;p;t;s;n;d;edible
x;f;g;f;f;c;b;p;e;k;h;d;poisonous
x;y;g;t;n;c;b;u;t;s;k;d;edible
x;f;e;t;n;c;b;w;t;s;n;d;edible
x;y;n;t;n;c;b;u;t;s;n;d;edible
f;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;e;t;n;c;b;w;t;s;k;d;edible
f;f;n;t;n;c;b;p;t;s;k;d;edible
f;y;n;t;n;c;b;p;t;s;k;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;f;e;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;w;t;s;k;d;edible
x;f;g;t;n;c;b;u;t;s;n;d;edible
x;f;n;t;n;c;b;u;t;s;k;d;edible
x;f;g;t;n;c;b;w;t;s;k;d;edible
x;s;g;f;n;w;b;k;t;s;n;g;edible
x;y;e;t;n;c;b;u;t;s;k;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;y;e;t;n;c;b;n;t;s;n;d;edible
f;f;g;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;u;t;s;k;d;edible
x;f;g;t;n;c;b;n;t;s;n;d;edible
f;f;g;t;n;c;b;p;t;s;n;d;edible
x;s;w;f;n;w;b;p;t;f;n;g;edible
x;f;n;t;n;c;b;w;t;s;n;d;edible
f;f;n;t;n;c;b;w;t;s;k;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;y;g;t;n;c;b;w;t;s;k;d;edible
x;f;e;t;n;c;b;u;t;s;n;d;edible
x;y;e;t;n;c;b;u;t;s;k;d;edible
x;f;n;t;n;c;b;w;t;s;k;d;edible
f;y;g;t;n;c;b;w;t;s;k;d;edible
x;y;g;t;n;c;b;w;t;s;n;d;edible
x;s;p;f;c;w;n;g;e;s;n;d;poisonous
x;y;n;t;n;c;b;p;t;s;n;d;edible
f;f;g;t;n;c;b;n;t;s;k;d;edible
x;y;e;t;n;c;b;p;t;s;k;d;edible
f;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;n;t;n;c;b;w;t;s;n;d;edible
x;f;g;t;n;c;b;w;t;s;n;d;edible
f;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;n;t;n;c;b;n;t;s;k;d;edible
x;y;n;t;n;c;b;w;t;s;k;d;edible
x;f;e;t;n;c;b;w;t;s;n;d;edible
f;f;g;t;n;c;b;p;t;s;k;d;edible
x;y;e;t;n;c;b;n;t;s;n;d;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
f;f;n;t;n;c;b;w;t;s;n;d;edible
x;f;e;t;n;c;b;p;t;s;k;d;edible
x;f;e;t;n;c;b;n;t;s;n;d;edible
x;f;w;f;n;w;b;k;t;f;n;g;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
x;f;e;t;n;c;b;p;t;s;k;d;edible
x;y;g;t;n;c;b;p;t;s;n;d;edible
x;f;e;t;n;c;b;w;t;s;k;d;edible
x;f;g;t;n;c;b;p;t;s;n;d;edible
f;y;e;t;n;c;b;p;t;s;n;d;edible
f;y;g;t;n;c;b;p;t;s;k;d;edible
x;y;e;t;n;c;b;p;t;s;k;d;edible
x;y;g;t;n;c;b;p;t;s;n;d;edible
f;f;g;f;n;w;b;h;t;f;k;g;edible
x;f;g;f;f;c;b;g;e;k;h;p;poisonous
x;f;e;t;n;c;b;p;t;s;k;d;edible
x;y;e;t;n;c;b;w;t;s;n;d;edible
f;s;w;t;p;c;n;w;e;s;k;g;poisonous
f;y;n;t;n;c;b;u;t;s;k;d;edible
x;f;e;t;n;c;b;n;t;s;n;d;edible
x;y;e;t;n;c;b;n;t;s;k;d;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
x;y;g;t;n;c;b;p;t;s;n;d;edible
x;f;g;f;n;w;b;n;t;f;n;g;edible
x;f;n;t;n;c;b;u;t;s;n;d;edible
f;f;e;t;n;c;b;n;t;s;k;d;edible
